Setting logging level to INFO
2026-01-28 17:28:44.816-0500 | vert.x-eventloop-thread-1 | INFO  | PeerDiscoveryAgent | Writing node record to disk. NodeRecord{seq=1, publicKey=0x032b537a3522b70de0fa139e6dacc7c727cf6aa5ecb86a07c86abcc2bde7efc85f, udpAddress=Optional[/0.0.0.0:30303], tcpAddress=Optional[/0.0.0.0:30303], udp6Address=Optional.empty, tcp6Address=Optional.empty, asBase64=-Je4QHbCZ7wWWYLrR6ef1zZzmXiN_9XXz_O4FXhY0K9ynfu3bRWYI4YOIpJptvV_di2vxJm0ncSwDc-W_pKEQN_2ybgBg2V0aMfGhHgXe9aAgmlkgnY0gmlwhAAAAACJc2VjcDI1NmsxoQMrU3o1IrcN4PoTnm2sx8cnz2ql7LhqB8hqvMK95-_IX4N0Y3CCdl-DdWRwgnZf, nodeId=0x9fb353ec55e4384d9ea3d769e7a0530327cd0853b43672e0c97ff644dfb737ab, customFields={tcp=30303, udp=30303, eth=[[0x78177bd6, 0x]], id=V4, ip=0x00000000, secp256k1=0x032b537a3522b70de0fa139e6dacc7c727cf6aa5ecb86a07c86abcc2bde7efc85f}}
2026-01-28 17:28:44.825-0500 | main | INFO  | DefaultP2PNetwork | Enode URL enode://2b537a3522b70de0fa139e6dacc7c727cf6aa5ecb86a07c86abcc2bde7efc85f9ef66d947c61bfddd8247b74ae53711c2f5bf8dfe17c269b6d72b53b16595963@0.0.0.0:30303
2026-01-28 17:28:44.826-0500 | main | INFO  | DefaultP2PNetwork | Node address 0xe7a0530327cd0853b43672e0c97ff644dfb737ab
2026-01-28 17:28:44.834-0500 | main | INFO  | NetworkRunner | Supported capabilities: [eth/68, eth/69], [istanbul/100], [snap/1]
2026-01-28 17:28:44.835-0500 | main | INFO  | DefaultSynchronizer | Starting synchronizer.
2026-01-28 17:28:44.840-0500 | main | INFO  | TransactionPoolFactory | Enabling transaction handling following initial sync
2026-01-28 17:28:44.840-0500 | main | INFO  | BftMiningCoordinator | Starting BFT mining coordinator following initial sync
2026-01-28 17:28:44.847-0500 | main | INFO  | FullSyncDownloader | Starting full sync.
2026-01-28 17:28:44.848-0500 | main | INFO  | FullSyncTargetManager | Unable to find sync target. Waiting for 5 peers minimum. Currently checking 0 peers for usefulness
2026-01-28 17:28:44.850-0500 | main | INFO  | Runner | Ethereum main loop is up.
2026-01-28 17:29:02.630-0500 | nioEventLoopGroup-3-2 | INFO  | FullSyncTargetManager | Unable to find sync target. Waiting for 5 peers minimum. Currently checking 1 peers for usefulness
2026-01-28 17:29:07.632-0500 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | Unable to find sync target. Waiting for 5 peers minimum. Currently checking 1 peers for usefulness
2026-01-28 17:29:12.633-0500 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | Unable to find sync target. Waiting for 5 peers minimum. Currently checking 2 peers for usefulness
2026-01-28 17:29:17.634-0500 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | Unable to find sync target. Waiting for 5 peers minimum. Currently checking 3 peers for usefulness
2026-01-28 17:29:22.636-0500 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | Unable to find sync target. Waiting for 5 peers minimum. Currently checking 3 peers for usefulness
2026-01-28 17:29:27.679-0500 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | Unable to find sync target. Waiting for 5 peers minimum. Currently checking 3 peers for usefulness
2026-01-28 17:29:32.680-0500 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | Unable to find sync target. Waiting for 5 peers minimum. Currently checking 3 peers for usefulness
2026-01-28 17:29:37.681-0500 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | Unable to find sync target. Waiting for 5 peers minimum. Currently checking 1 peers for usefulness
2026-01-28 17:29:42.682-0500 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | Unable to find sync target. Waiting for 5 peers minimum. Currently checking 1 peers for usefulness
2026-01-28 17:29:47.682-0500 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | Unable to find sync target. Waiting for 5 peers minimum. Currently checking 2 peers for usefulness
2026-01-28 17:29:52.684-0500 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | Unable to find sync target. Waiting for 5 peers minimum. Currently checking 2 peers for usefulness
2026-01-28 17:29:54.128-0500 | EthScheduler-Workers-0 | INFO  | PersistBlockTask | Imported empty block #1 / 0 tx / 0 om / 0 (0.0%) gas / (0xc32e73a2fb9297af43dc8a59d09ac05a2bc20bdc39658e632d31801903cbf2aa) in 0.032s. Peers: 2
2026-01-28 17:29:57.732-0500 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | Unable to find sync target. Waiting for 5 peers minimum. Currently checking 2 peers for usefulness
2026-01-28 17:29:58.126-0500 | EthScheduler-Workers-0 | INFO  | PersistBlockTask | Imported empty block #2 / 0 tx / 0 om / 0 (0.0%) gas / (0x1c8fc224b186f85eecf7a8db9fd95c30fddcde00cb888c3daaa0e0f507682168) in 0.005s. Peers: 2
2026-01-28 17:30:03.042-0500 | EthScheduler-Workers-0 | INFO  | PersistBlockTask | Imported empty block #3 / 0 tx / 0 om / 0 (0.0%) gas / (0xf6aab7013fb747d4e91256cefb2dfdd7ce566edc5347d37ebc8224927d2b237a) in 0.004s. Peers: 3
2026-01-28 17:30:08.061-0500 | EthScheduler-Workers-0 | INFO  | PersistBlockTask | Imported empty block #4 / 0 tx / 0 om / 0 (0.0%) gas / (0x0e90e668f672ba5235371b4d65911ef73fc7dbe02d2303e8d8e64150c1020a9f) in 0.004s. Peers: 3
2026-01-28 17:30:13.033-0500 | EthScheduler-Workers-0 | INFO  | PersistBlockTask | Imported empty block #5 / 0 tx / 0 om / 0 (0.0%) gas / (0xd08e53652f64db97ed78beeba6290d0f5d16e2aee6abeeded9b006d8ebc10350) in 0.003s. Peers: 4
2026-01-28 17:30:18.041-0500 | EthScheduler-Workers-0 | INFO  | PersistBlockTask | Imported empty block #6 / 0 tx / 0 om / 0 (0.0%) gas / (0x83b69809cdb38e8c3fd66925ee5a449378f31b3f0ad7629fbf4ab2c4479710d3) in 0.004s. Peers: 7
2026-01-28 17:30:23.030-0500 | EthScheduler-Workers-0 | INFO  | PersistBlockTask | Imported empty block #7 / 0 tx / 0 om / 0 (0.0%) gas / (0x0ec7c1597f4f9037cb68781cc7e3f5ef77ea975f13755ada029a954545512acd) in 0.003s. Peers: 7
2026-01-28 17:30:28.071-0500 | EthScheduler-Workers-0 | INFO  | PersistBlockTask | Imported empty block #8 / 0 tx / 0 om / 0 (0.0%) gas / (0x823eed36681fe072df5fcb81dcdd47c41a6966503f3112b8219b6e3e88172783) in 0.003s. Peers: 7
2026-01-28 17:30:33.042-0500 | EthScheduler-Workers-0 | INFO  | PersistBlockTask | Imported empty block #9 / 0 tx / 0 om / 0 (0.0%) gas / (0x7bbca00febca51aa8116613ef6923d6d306ceebfeaf7b8a55e5414f246c4c971) in 0.003s. Peers: 5
2026-01-28 17:30:38.028-0500 | EthScheduler-Workers-0 | INFO  | PersistBlockTask | Imported empty block #10 / 0 tx / 0 om / 0 (0.0%) gas / (0x7e1e65f1fb182abb6384848bd41981821706675eab49ef6190d97282768ac5e4) in 0.007s. Peers: 5
2026-01-28 17:30:43.030-0500 | EthScheduler-Workers-0 | INFO  | PersistBlockTask | Imported empty block #11 / 0 tx / 0 om / 0 (0.0%) gas / (0x11f94ec2b41767f2864815610173e77f5e11ad4151e1c49a6c37818a6ae4fafa) in 0.006s. Peers: 5
2026-01-28 17:30:48.030-0500 | EthScheduler-Workers-0 | INFO  | PersistBlockTask | Imported empty block #12 / 0 tx / 0 om / 0 (0.0%) gas / (0x3246ba24545584c5333b7fcf13230e80de161f1fa0250a6e7d7f1af74899f439) in 0.003s. Peers: 7
2026-01-28 17:30:53.046-0500 | EthScheduler-Workers-0 | INFO  | PersistBlockTask | Imported empty block #13 / 0 tx / 0 om / 0 (0.0%) gas / (0x47b8d0498c3cf0b4c9f15d828322e9b4cfa1328203dbc357f17fbe24c2fdc967) in 0.008s. Peers: 7
2026-01-28 17:30:58.124-0500 | EthScheduler-Workers-0 | INFO  | PersistBlockTask | Imported empty block #14 / 0 tx / 0 om / 0 (0.0%) gas / (0xabf00e1cdaef9bc98fcb06cb603744bc5e0b5ad6e5b1fab2de06aa1caf62a2e6) in 0.006s. Peers: 7
